"SEQN","RIDAGEYR","INDFMPIR","DMDEDUC2","DMDMARTL","RIAGENDR","RIDRETH1"
61372,70,1.11,2,5,1,3
61373,30,5,5,1,2,3
61374,22,0.82,2,5,2,1
61375,14,2.68,NA,NA,2,3
61376,7,5,NA,NA,1,3
61377,73,0.68,2,5,2,4
61378,73,2.46,4,1,1,1
61379,38,1.26,5,6,2,5
61380,74,NA,1,1,1,1
61381,10,NA,NA,NA,1,1
61382,79,1.58,1,1,1,4
61383,18,1.31,NA,NA,2,3
61384,30,5,5,1,2,3
61385,22,NA,4,5,1,3
61386,6,0.68,NA,NA,2,2
61387,2,1.28,NA,NA,1,1
61388,17,1.27,NA,NA,2,3
61389,17,0.54,NA,NA,1,3
61390,13,1.8,NA,NA,2,3
61391,2,2.02,NA,NA,2,3
61392,6,1.01,NA,NA,2,3
61393,80,1.78,4,1,2,3
61394,80,1.48,3,1,1,3
61395,0,1.22,NA,NA,2,3
61396,63,1.01,4,1,1,5
61397,8,2.25,NA,NA,1,5
61398,0,0.91,NA,NA,1,4
61399,11,5,NA,NA,2,4
61400,4,1.86,NA,NA,2,2
61401,0,0.97,NA,NA,1,4
61402,5,1.64,NA,NA,1,4
61403,5,1.28,NA,NA,1,3
61404,4,1.65,NA,NA,2,3
61405,63,NA,1,2,2,1
61406,8,1.16,NA,NA,2,1
61407,39,1.91,2,2,1,1
61408,2,5,NA,NA,2,3
61409,14,5,NA,NA,1,1
61410,17,4.54,NA,NA,2,4
61411,72,1.24,4,1,1,3
61412,4,2.06,NA,NA,1,5
61413,7,0.82,NA,NA,1,3
61414,74,5,5,1,1,3
61415,39,0.5,3,1,1,3
61416,22,NA,4,5,1,4
61417,43,0.14,3,1,2,2
61418,1,1.32,NA,NA,2,1
61419,2,1.9,NA,NA,1,3
61420,27,1.45,4,1,1,3
61421,80,4.64,1,2,2,1
61422,44,2.13,3,1,1,1
61423,9,NA,NA,NA,1,4
61424,4,1.59,NA,NA,1,3
61425,11,2.08,NA,NA,2,1
61426,13,0.71,NA,NA,1,1
61427,26,5,3,6,1,5
61428,38,NA,3,5,1,3
61429,51,1.32,4,3,2,1
61430,39,NA,4,1,1,2
61431,0,1.47,NA,NA,1,1
61432,17,5,NA,NA,1,3
61433,33,3.09,5,1,1,3
61434,11,2.09,NA,NA,2,4
61435,52,3.6,4,6,1,3
61436,72,0.96,2,1,2,3
61437,10,0.75,NA,NA,2,4
61438,11,1.74,NA,NA,1,2
61439,58,1.13,4,1,2,1
61440,24,3.43,5,1,2,3
61441,53,4.37,4,3,2,4
61442,52,3.51,4,1,2,3
61443,7,1.2,NA,NA,1,1
61444,20,0.85,2,5,1,3
61445,46,2.27,5,3,2,3
61446,62,0.74,2,3,2,4
61447,45,3.23,4,3,1,3
61448,75,3.69,4,2,2,3
61449,39,0,3,5,1,5
61450,55,NA,4,3,1,4
61451,64,0.01,5,1,2,3
61452,6,0.54,NA,NA,1,5
61453,76,0.33,3,1,1,2
61454,35,0.91,5,1,2,3
61455,7,2.68,NA,NA,1,4
61456,15,NA,NA,NA,1,3
61457,0,0.54,NA,NA,2,1
61458,80,5,5,1,2,3
61459,51,0.74,3,4,1,4
61460,62,1.12,4,3,1,2
61461,12,NA,NA,NA,1,3
61462,0,0.74,NA,NA,1,1
61463,16,0.89,NA,NA,2,2
61464,4,5,NA,NA,2,4
61465,13,0.62,NA,NA,2,1
61466,3,3.4,NA,NA,1,4
61467,15,0.64,NA,NA,1,3
61468,80,0.92,5,2,2,3
61469,24,1.8,3,5,1,1
61470,11,0.31,NA,NA,2,1
61471,52,2.18,3,1,2,5
61472,15,0.89,NA,NA,1,3
61473,13,1.65,NA,NA,2,5
61474,20,0.36,2,1,2,3
61475,30,NA,4,5,2,4
61476,44,0.55,3,5,1,4
61477,35,2.71,3,1,1,2
61478,48,2.13,5,1,1,3
61479,63,NA,3,1,1,1
61480,40,NA,1,1,2,1
61481,12,5,NA,NA,1,3
61482,59,3.77,3,1,2,3
61483,25,3.23,2,5,1,3
61484,37,0.19,1,5,2,2
61485,1,0.08,NA,NA,1,4
61486,63,5,4,1,1,1
61487,80,1.39,1,2,2,3
61488,41,3.88,5,1,2,2
61489,18,0.28,NA,NA,1,5
61490,8,2.73,NA,NA,2,5
61491,37,4.08,5,1,1,3
61492,5,2.72,NA,NA,1,3
61493,6,1.22,NA,NA,1,3
61494,4,5,NA,NA,1,3
61495,10,0.78,NA,NA,1,1
61496,37,5,5,1,1,3
61497,18,1.45,NA,NA,1,4
61498,33,1.34,4,5,1,3
61499,55,2.31,2,6,2,1
61500,17,NA,NA,NA,1,3
61501,46,NA,1,4,2,1
61502,1,0.43,NA,NA,2,2
61503,13,1.97,NA,NA,1,5
61504,0,0.41,NA,NA,2,1
61505,39,NA,4,5,1,4
61506,2,0.72,NA,NA,1,1
61507,68,0.91,2,1,2,1
61508,45,1.28,2,6,2,3
61509,26,5,4,4,1,4
61510,43,0.98,3,1,2,5
61511,11,1.2,NA,NA,2,4
61512,36,3,4,4,2,3
61513,8,NA,NA,NA,1,4
61514,80,3.09,1,1,1,3
61515,23,3.4,3,5,2,4
61516,21,0,4,5,1,2
61517,77,4.81,2,2,2,3
61518,39,4.54,3,1,1,3
61519,36,5,5,3,1,3
61520,20,1.22,2,5,1,3
61521,12,2.1,NA,NA,1,4
61522,11,1.37,NA,NA,1,4
61523,48,0.82,2,1,2,2
61524,29,1,2,5,2,3
61525,46,2.77,4,5,2,3
61526,0,1.8,NA,NA,1,4
61527,7,1.18,NA,NA,2,3
61528,42,0.12,4,3,2,4
61529,16,5,NA,NA,1,4
61530,80,0.89,4,1,1,3
61531,50,5,1,1,1,1
61532,43,1.65,2,1,1,3
61533,50,0.85,2,1,1,1
61534,47,2.79,5,3,1,4
61535,7,4.31,NA,NA,1,2
61536,14,1.39,NA,NA,1,4
61537,14,2.71,NA,NA,1,2
61538,69,3.32,5,3,1,1
61539,2,NA,NA,NA,2,1
61540,72,5,3,1,1,3
61541,73,NA,1,2,2,1
61542,62,5,5,2,2,2
61543,80,NA,5,1,1,3
61544,16,2.52,NA,NA,2,1
61545,34,2.51,4,5,1,3
61546,13,0.78,NA,NA,1,1
61547,15,5,NA,NA,1,3
61548,80,NA,1,2,2,1
61549,57,NA,3,1,1,2
61550,62,1.02,1,3,1,3
61551,11,3.77,NA,NA,2,3
61552,30,0.24,3,4,2,1
61553,0,3.28,NA,NA,1,3
61554,12,1.3,NA,NA,2,1
61555,63,1.24,2,1,1,3
61556,2,1.22,NA,NA,1,3
61557,8,5,NA,NA,1,4
61558,2,2.46,NA,NA,1,3
61559,2,4.54,NA,NA,2,3
61560,14,5,NA,NA,1,3
61561,76,4.8,3,1,2,3
61562,8,NA,NA,NA,2,2
61563,6,0.82,NA,NA,1,1
61564,10,2.62,NA,NA,1,2
61565,55,5,5,1,1,3
61566,17,0.54,NA,NA,1,4
61567,9,2.33,NA,NA,2,4
61568,16,0.95,NA,NA,1,4
61569,31,3.43,5,5,2,5
61570,34,2.75,4,3,2,1
61571,64,5,5,3,2,3
61572,41,2.33,2,1,1,1
61573,53,1.1,4,1,1,3
61574,37,5,4,5,1,3
61575,26,1.16,3,5,2,3
61576,41,2.27,4,1,2,1
61577,52,5,5,1,2,3
61578,66,4.12,2,1,2,4
61579,51,5,3,1,2,3
61580,69,1.35,2,3,2,1
61581,6,1.55,NA,NA,1,1
61582,39,1.22,5,1,1,3
61583,11,5,NA,NA,1,3
61584,46,0.78,3,3,2,3
61585,61,2.95,4,1,1,4
61586,66,5,5,3,1,4
61587,43,3.63,5,1,2,3
61588,59,0.85,3,1,2,3
61589,25,0,4,6,2,2
61590,49,1.03,4,5,2,1
61591,46,1.35,5,1,1,5
61592,18,0.84,NA,NA,2,1
61593,13,0.98,NA,NA,1,2
61594,27,0.08,2,4,2,1
61595,35,1.24,1,1,1,1
61596,4,1.16,NA,NA,1,1
61597,0,0.82,NA,NA,2,2
61598,0,2.95,NA,NA,1,3
61599,70,NA,2,1,1,3
61600,60,3.41,3,1,2,3
61601,30,2.59,4,5,2,3
61602,40,2.68,3,1,1,2
61603,80,1.92,2,1,1,3
61604,9,1.69,NA,NA,1,1
61605,7,1.09,NA,NA,1,3
61606,68,5,4,3,1,2
61607,10,NA,NA,NA,2,2
61608,39,1.85,4,5,2,3
61609,76,3.43,3,1,1,3
61610,31,1.02,3,5,1,3
61611,9,3,NA,NA,2,3
61612,77,0.58,1,3,2,2
61613,3,3.11,NA,NA,1,3
61614,14,1.35,NA,NA,2,4
61615,21,0.68,3,5,2,2
61616,38,4.54,5,1,2,3
61617,44,NA,2,1,2,5
61618,43,0.68,2,5,1,4
61619,15,2.64,NA,NA,2,1
61620,20,2.46,3,5,1,4
61621,23,1.52,2,5,1,1
61622,80,0.69,1,2,2,1
61623,32,0.5,1,1,2,1
61624,4,0.08,NA,NA,1,2
61625,73,NA,5,1,1,3
61626,48,1.72,4,1,1,3
61627,13,1.16,NA,NA,2,3
61628,60,4.85,4,1,2,3
61629,65,1.1,3,3,2,2
61630,42,4.17,5,1,2,3
61631,17,2.33,NA,NA,2,1
61632,18,0.42,NA,NA,1,4
61633,12,0.08,NA,NA,2,1
61634,8,1.05,NA,NA,2,4
61635,40,5,5,1,2,5
61636,14,2.25,NA,NA,2,4
61637,49,1.35,2,1,1,1
61638,0,0.6,NA,NA,2,2
61639,59,0.92,5,3,2,4
61640,2,0.44,NA,NA,2,1
61641,12,4.54,NA,NA,2,5
61642,53,3.43,4,3,2,1
61643,2,3.1,NA,NA,1,3
61644,21,1.64,4,5,1,4
61645,11,0.78,NA,NA,2,1
61646,6,1.86,NA,NA,1,3
61647,72,4.62,2,2,2,3
61648,11,1.5,NA,NA,1,1
61649,40,NA,4,1,1,3
61650,80,2.75,3,1,1,3
61651,6,1.3,NA,NA,1,1
61652,80,2.27,3,2,2,4
61653,56,2.27,5,1,1,3
61654,54,3.04,5,1,1,1
61655,43,1.65,5,3,1,3
61656,26,2.75,4,1,2,3
61657,41,2.72,4,1,2,3
61658,30,3.11,2,1,1,3
61659,40,5,5,1,2,4
61660,23,5,3,5,1,3
61661,63,5,4,1,1,3
61662,4,0.16,NA,NA,1,1
61663,44,5,5,1,1,3
61664,59,5,5,1,1,3
61665,45,1.03,4,2,2,3
61666,52,4.23,5,1,1,3
61667,71,1.55,1,2,2,2
61668,38,3.28,5,1,2,3
61669,25,3.51,4,5,1,2
61670,4,0.64,NA,NA,1,2
61671,14,1.45,NA,NA,1,1
61672,56,0.65,5,6,1,3
61673,25,0.91,2,4,2,3
61674,3,2.04,NA,NA,1,1
61675,50,2.75,4,77,2,3
61676,42,1.01,3,1,2,2
61677,55,0.81,1,5,2,4
61678,35,0.36,4,1,2,3
61679,45,0.98,3,3,2,4
61680,61,2.31,4,3,2,4
61681,9,3.8,NA,NA,1,4
61682,80,4.98,5,1,2,3
61683,74,1.02,3,2,2,3
61684,25,0.92,5,6,2,3
61685,59,5,5,1,2,3
61686,58,5,3,1,1,3
61687,57,5,3,1,1,3
61688,14,0.78,NA,NA,1,1
61689,9,0.24,NA,NA,2,1
61690,2,1.01,NA,NA,2,3
61691,24,0.57,3,5,2,1
61692,22,5,2,5,2,3
61693,33,1.34,4,5,2,2
61694,8,1.13,NA,NA,2,4
61695,5,1.28,NA,NA,2,3
61696,62,1.94,3,1,2,1
61697,32,0.55,3,5,2,5
61698,80,2.68,3,2,2,3
61699,56,0.74,1,6,1,2
61700,1,4.37,NA,NA,1,1
61701,26,3.65,5,5,2,3
61702,11,3.68,NA,NA,1,1
61703,4,4.54,NA,NA,2,3
61704,61,5,5,5,2,1
61705,36,3.88,4,3,1,3
61706,78,0.55,2,1,1,2
61707,80,2.31,2,2,2,3
61708,30,1.75,4,6,1,4
61709,15,2.72,NA,NA,2,1
61710,22,0.92,5,5,1,1
61711,28,NA,4,5,1,4
61712,37,1.13,3,1,2,1
61713,55,5,5,1,1,3
61714,13,0.95,NA,NA,2,1
61715,25,1.31,5,5,1,1
61716,68,4.74,2,1,1,2
61717,59,5,5,1,1,3
61718,22,NA,4,5,1,4
61719,80,0.69,1,3,2,1
61720,50,2.22,4,5,1,3
61721,31,0.35,4,6,2,4
61722,0,0.9,NA,NA,1,3
61723,7,3.88,NA,NA,2,1
61724,78,0.74,5,5,1,3
61725,49,0,2,4,1,4
61726,1,0.7,NA,NA,2,1
61727,66,NA,4,1,1,3
61728,1,0.86,NA,NA,2,4
61729,24,2.22,5,5,2,3
61730,51,5,4,1,2,3
61731,30,4.06,4,3,1,2
61732,19,1.47,NA,NA,1,3
61733,3,0.72,NA,NA,1,3
61734,30,5,3,3,1,3
61735,2,0.82,NA,NA,2,1
61736,24,5,4,5,1,3
61737,11,0.95,NA,NA,2,1
61738,41,0,4,3,1,4
61739,11,0.75,NA,NA,2,1
61740,2,0.68,NA,NA,1,1
61741,11,1.06,NA,NA,1,4
61742,13,0.93,NA,NA,2,3
61743,16,0.44,NA,NA,2,1
61744,18,0.44,NA,NA,2,1
61745,37,2.95,4,3,2,4
61746,4,1.13,NA,NA,1,1
61747,6,0.47,NA,NA,2,1
61748,11,1.16,NA,NA,1,4
61749,21,NA,3,5,2,4
61750,5,1.51,NA,NA,1,2
61751,0,1.86,NA,NA,1,4
61752,20,3.04,3,5,2,4
61753,49,1.47,4,4,1,4
61754,19,1.38,NA,NA,1,1
61755,47,3.49,4,1,1,4
61756,30,0.04,3,5,2,3
61757,18,0.78,NA,NA,1,3
61758,14,0.95,NA,NA,1,4
61759,24,1.39,3,5,1,2
61760,11,2.71,NA,NA,1,4
61761,15,5,NA,NA,2,3
61762,45,2.54,1,1,2,1
61763,26,1.37,4,1,2,1
61764,79,3.65,4,1,1,2
61765,30,1.18,1,1,2,3
61766,19,0.81,NA,NA,2,4
61767,19,2.27,NA,NA,1,1
61768,11,2.27,NA,NA,1,4
61769,0,0.23,NA,NA,1,5
61770,40,1.74,1,1,1,1
61771,24,1.36,2,3,2,1
61772,61,3.01,4,1,2,2
61773,60,2.77,1,4,1,1
61774,29,0.88,3,5,1,3
61775,61,1.13,1,1,1,1
61776,26,0.41,4,1,2,2
61777,66,2.16,4,1,1,3
61778,55,3.43,5,5,2,4
61779,34,3.01,3,1,1,3
61780,37,3.82,4,5,2,1
61781,7,1.23,NA,NA,2,4
61782,6,1.08,NA,NA,1,2
61783,1,0.41,NA,NA,1,2
61784,16,2.63,NA,NA,1,3
61785,15,5,NA,NA,1,3
61786,35,2.33,3,1,1,3
61787,6,1.75,NA,NA,1,5
61788,35,NA,5,1,2,4
61789,51,1.94,5,1,2,2
61790,69,3.09,3,1,2,3
61791,42,4.54,5,1,2,3
61792,51,4.92,5,1,1,4
61793,11,2.99,NA,NA,1,2
61794,17,0.82,NA,NA,2,3
61795,61,NA,4,1,1,3
61796,18,0.24,NA,NA,1,4
61797,4,1.27,NA,NA,1,3
61798,15,5,NA,NA,2,3
61799,20,2.29,3,5,2,4
61800,44,0.55,2,3,2,1
61801,48,2.75,3,1,1,4
61802,49,3.39,5,1,2,1
61803,47,1.06,4,3,2,3
61804,1,1.35,NA,NA,1,1
61805,80,5,5,2,1,3
61806,1,0.41,NA,NA,1,5
61807,8,1.81,NA,NA,2,5
61808,49,2.44,4,5,2,4
61809,80,0.82,4,1,1,2
61810,7,5,NA,NA,2,3
61811,0,3.93,NA,NA,1,3
61812,46,1.1,2,3,1,3
61813,11,NA,NA,NA,1,1
61814,4,2.33,NA,NA,1,3
61815,33,2.71,5,1,1,3
61816,10,2.33,NA,NA,2,4
61817,73,2.05,5,1,1,4
61818,2,2.75,NA,NA,1,3
61819,19,NA,NA,NA,1,4
61820,39,2.77,5,5,1,3
61821,57,0.09,1,5,1,4
61822,80,3.77,4,1,2,3
61823,80,2.22,1,2,2,4
61824,10,1.36,NA,NA,2,1
61825,23,2.31,4,5,1,3
61826,13,3,NA,NA,1,3
61827,10,1.02,NA,NA,1,4
61828,59,5,2,1,2,2
61829,22,0.92,5,6,2,3
61830,57,3.32,3,6,2,3
61831,80,2.47,3,1,2,3
61832,7,0.46,NA,NA,2,4
61833,33,5,5,5,1,5
61834,46,1.86,5,5,2,1
61835,13,0.61,NA,NA,2,1
61836,77,NA,1,5,2,3
61837,1,4.03,NA,NA,2,3
61838,24,NA,5,5,2,2
61839,75,1.39,2,1,1,4
61840,5,2.72,NA,NA,2,2
61841,5,2.04,NA,NA,2,1
61842,1,NA,NA,NA,2,1
61843,72,3.82,1,2,2,3
61844,0,0.54,NA,NA,2,1
61845,7,5,NA,NA,1,2
61846,8,1.09,NA,NA,2,4
61847,5,2.92,NA,NA,2,1
61848,80,1.89,4,2,2,3
61849,32,NA,4,1,1,3
61850,60,1.3,3,1,2,3
61851,4,4.65,NA,NA,2,3
61852,3,4.99,NA,NA,2,2
61853,40,4.52,4,5,2,3
61854,13,5,NA,NA,2,1
61855,45,3.69,4,5,1,3
61856,12,0.88,NA,NA,2,2
61857,6,0.85,NA,NA,1,1
61858,41,1.16,2,3,2,2
61859,11,3.39,NA,NA,2,3
61860,1,0.69,NA,NA,2,3
61861,2,0,NA,NA,1,1
61862,17,2.27,NA,NA,2,1
61863,9,5,NA,NA,1,3
61864,80,NA,2,1,1,1
61865,14,NA,NA,NA,1,3
61866,74,2.4,3,1,2,3
61867,69,NA,5,1,2,2
61868,2,0.68,NA,NA,2,3
61869,22,0.38,4,6,1,2
61870,23,3.2,4,5,1,5
61871,2,0.41,NA,NA,1,4
61872,0,NA,NA,NA,2,1
61873,57,0.6,4,4,2,1
61874,66,1.06,3,3,1,4
61875,58,1.66,2,5,1,3
61876,28,1.94,5,5,2,1
61877,40,0.08,4,4,2,2
61878,50,0.82,4,3,1,3
61879,3,3.39,NA,NA,2,1
61880,60,0.55,2,1,2,2
61881,3,0.68,NA,NA,2,5
61882,15,1.91,NA,NA,1,4
61883,16,3.49,NA,NA,1,3
61884,41,1.22,9,1,2,5
61885,53,4.51,1,1,2,1
61886,39,NA,5,1,2,5
61887,14,0.39,NA,NA,1,4
61888,0,0.75,NA,NA,1,1
61889,0,0.58,NA,NA,2,1
61890,50,1.17,3,1,1,1
61891,45,NA,4,1,1,3
61892,13,1.12,NA,NA,2,3
61893,40,NA,1,1,1,1
61894,73,0.89,1,1,2,1
61895,10,0.82,NA,NA,1,2
61896,21,5,4,1,2,5
61897,21,NA,1,5,1,1
61898,5,1.5,NA,NA,2,1
61899,36,4.08,5,1,2,3
61900,60,4.8,4,3,1,4
61901,7,1.74,NA,NA,1,3
61902,28,0.69,2,5,2,4
61903,54,1.16,4,1,1,3
61904,60,1.24,4,1,1,4
61905,77,2.12,4,5,2,3
61906,14,3.4,NA,NA,1,3
61907,53,0.3,3,1,2,3
61908,68,2.95,3,2,2,3
61909,33,1.74,3,1,1,3
61910,27,5,4,1,2,4
61911,38,0.77,2,5,1,1
61912,7,1.59,NA,NA,1,1
61913,80,2.29,2,2,2,3
61914,66,4.46,5,1,2,3
61915,3,1.13,NA,NA,2,2
61916,16,4.54,NA,NA,1,3
61917,44,5,5,1,2,3
61918,35,0.18,3,1,1,3
61919,19,0.18,NA,NA,1,3
61920,20,0.42,3,5,1,5
61921,19,4.32,NA,NA,2,4
61922,4,1.5,NA,NA,2,5
61923,12,2.33,NA,NA,2,3
61924,46,0.92,3,5,1,4
61925,0,1,NA,NA,2,3
61926,16,NA,NA,NA,1,3
61927,1,1.43,NA,NA,2,3
61928,80,2.03,1,2,2,5
61929,11,5,NA,NA,2,2
61930,5,1.45,NA,NA,2,3
61931,25,NA,3,1,2,3
61932,64,2.4,4,3,2,1
61933,41,4.1,4,1,2,2
61934,9,1.02,NA,NA,2,4
61935,13,0.68,NA,NA,2,4
61936,2,1.08,NA,NA,1,4
61937,31,1,5,1,1,3
61938,47,0.89,4,1,2,2
61939,19,NA,NA,NA,2,4
61940,15,0.46,NA,NA,1,4
61941,22,0.41,3,1,1,1
61942,19,NA,NA,NA,2,3
61943,59,5,2,1,1,3
61944,3,5,NA,NA,1,3
61945,4,1.24,NA,NA,2,1
61946,15,1.14,NA,NA,2,3
61947,56,5,2,1,1,3
61948,71,1.44,5,1,1,1
61949,61,0.72,2,3,2,2
61950,0,0.74,NA,NA,1,2
61951,80,0.91,1,2,2,2
61952,29,5,4,1,2,1
61953,76,3.43,4,1,1,4
61954,10,3.63,NA,NA,1,3
61955,13,3.63,NA,NA,1,3
61956,36,3.43,5,5,1,5
61957,43,1.27,4,1,1,5
61958,52,5,5,1,1,2
61959,32,2.49,5,5,1,3
61960,78,2.12,4,2,2,3
61961,12,1.25,NA,NA,1,3
61962,80,2.77,3,6,1,2
61963,11,5,NA,NA,2,3
61964,80,1.55,4,1,2,3
61965,38,0.19,2,1,2,1
61966,14,0.07,NA,NA,1,1
61967,69,2.06,4,1,2,3
61968,66,4.8,2,5,1,3
61969,20,1.89,3,5,1,4
61970,31,1.91,5,5,1,2
61971,20,3.6,4,5,2,3
61972,2,0.97,NA,NA,1,4
61973,0,4.37,NA,NA,2,1
61974,50,0.95,4,2,1,3
61975,0,1.63,NA,NA,1,2
61976,18,0,NA,NA,2,5
61977,2,0.59,NA,NA,1,2
61978,10,0.64,NA,NA,2,3
61979,54,1.75,1,4,1,2
61980,1,1.94,NA,NA,2,2
61981,63,1.54,1,1,1,1
61982,1,0.41,NA,NA,1,4
61983,54,1.25,3,1,1,1
61984,4,0.3,NA,NA,1,4
61985,0,1.91,NA,NA,2,2
61986,52,1.18,4,1,1,3
61987,80,NA,3,1,1,3
61988,8,0.66,NA,NA,1,3
61989,46,2.71,4,1,1,3
61990,38,NA,5,1,2,5
61991,31,1.02,4,1,1,3
61992,19,0.1,NA,NA,2,4
61993,2,1.36,NA,NA,1,3
61994,11,4.26,NA,NA,1,1
61995,7,NA,NA,NA,1,4
61996,13,NA,NA,NA,1,3
61997,15,NA,NA,NA,2,1
61998,26,4.12,3,5,1,5
61999,30,2.27,3,3,2,3
62000,67,1.03,3,4,2,2
62001,28,3.01,3,1,2,1
62002,7,2.95,NA,NA,2,5
62003,19,0.64,NA,NA,1,2
62004,27,3.28,5,1,2,3
62005,50,0.37,4,5,1,4
62006,51,NA,2,3,2,3
62007,28,3.28,4,5,1,3
62008,26,1.74,2,5,2,3
62009,10,5,NA,NA,1,2
62010,3,0.86,NA,NA,1,1
62011,2,0.44,NA,NA,2,2
62012,0,1.23,NA,NA,2,4
62013,73,NA,4,1,2,3
62014,1,4.64,NA,NA,2,3
62015,8,2.99,NA,NA,1,2
62016,13,0.75,NA,NA,1,1
62017,80,3.84,3,2,2,3
62018,12,1.35,NA,NA,2,4
62019,69,1.34,2,6,1,3
62020,18,NA,NA,NA,2,3
62021,0,0.56,NA,NA,1,1
62022,18,1.64,NA,NA,2,1
62023,10,0.21,NA,NA,1,1
62024,1,2.62,NA,NA,1,3
62025,1,0.56,NA,NA,1,1
62026,47,2.49,4,1,2,2
62027,80,1.96,2,1,1,3
62028,38,0.92,2,2,2,3
62029,20,2.72,4,5,2,3
62030,56,0.07,4,3,1,3
62031,9,NA,NA,NA,1,1
62032,19,1.16,NA,NA,2,2
62033,42,0.92,5,6,2,5
62034,43,1.39,2,6,1,4
62035,75,NA,4,2,2,1
62036,60,5,5,1,1,3
62037,56,5,5,3,1,3
62038,6,1.26,NA,NA,1,3
62039,12,4.27,NA,NA,2,5
62040,39,1.37,3,1,2,4
62041,62,0.62,2,2,2,4
62042,10,5,NA,NA,2,5
62043,5,1.02,NA,NA,1,3
62044,6,5,NA,NA,1,3
62045,75,5,3,1,2,3
62046,1,1.55,NA,NA,1,4
62047,19,1.69,NA,NA,1,1
62048,55,1.92,4,1,1,4
62049,74,3.43,5,1,1,3
62050,53,2.18,4,3,2,4
62051,8,0.12,NA,NA,2,4
62052,49,NA,3,6,1,1
62053,27,NA,4,5,2,5
62054,0,3.4,NA,NA,2,3
62055,27,1.37,5,1,2,3
62056,21,2.18,4,5,2,2
62057,4,1.04,NA,NA,2,3
62058,76,1.17,5,1,2,3
62059,35,0.78,1,1,2,1
62060,80,NA,2,1,2,2
62061,4,1.67,NA,NA,1,3
62062,3,0.56,NA,NA,1,3
62063,73,3.63,2,2,2,1
62064,77,1.8,4,2,2,3
62065,51,1.02,1,1,2,1
62066,8,2.72,NA,NA,2,1
62067,35,5,5,5,1,1
62068,20,1.91,4,1,2,1
62069,6,0.54,NA,NA,1,1
62070,70,4.46,4,1,1,4
62071,49,0.78,2,5,1,4
62072,31,1.36,5,1,1,3
62073,8,1.94,NA,NA,2,5
62074,4,4.23,NA,NA,1,3
62075,7,0.91,NA,NA,2,4
62076,60,3.26,4,1,2,4
62077,15,1.36,NA,NA,2,4
62078,21,3.43,3,6,2,3
62079,76,2.33,1,1,2,4
62080,58,NA,4,1,1,3
62081,55,3.63,5,1,1,2
62082,3,NA,NA,NA,2,3
62083,40,0.63,4,5,2,4
62084,0,0.91,NA,NA,2,1
62085,54,4.92,4,1,1,4
62086,2,5,NA,NA,2,3
62087,74,1.92,3,1,2,3
62088,2,2.2,NA,NA,1,4
62089,23,1.55,1,4,1,1
62090,2,0.63,NA,NA,2,1
62091,66,0.45,2,4,2,1
62092,46,1.37,5,1,2,5
62093,75,2.59,5,2,1,3
62094,12,0.6,NA,NA,1,2
62095,3,2.95,NA,NA,2,3
62096,11,4.54,NA,NA,1,2
62097,69,5,3,6,1,1
62098,38,NA,4,1,1,1
62099,9,5,NA,NA,2,5
62100,3,4.99,NA,NA,1,3
62101,11,3.28,NA,NA,1,2
62102,59,2.33,3,1,2,3
62103,53,5,5,3,2,2
62104,12,0.21,NA,NA,2,4
62105,43,5,4,1,1,3
62106,30,0.68,1,1,1,2
62107,70,NA,4,2,2,5
62108,54,0.95,1,1,2,1
62109,17,0.25,NA,NA,2,4
62110,7,2.72,NA,NA,2,3
62111,22,1.85,2,6,1,4
62112,58,0.93,3,1,2,2
62113,7,0.5,NA,NA,2,1
62114,20,5,4,5,1,3
62115,13,1.5,NA,NA,1,5
62116,0,0.72,NA,NA,1,1
62117,72,1.02,3,3,2,4
62118,27,3.4,3,1,2,4
62119,2,0.61,NA,NA,2,3
62120,49,0.86,2,1,1,3
62121,11,5,NA,NA,1,1
62122,64,1.81,2,6,1,5
62123,78,2.75,4,1,2,3
62124,16,0.59,NA,NA,1,1
62125,56,4.8,5,1,1,3
62126,54,1.16,1,1,1,1
62127,48,NA,4,1,2,4
62128,27,5,5,1,1,3
62129,2,1.2,NA,NA,2,1
62130,67,5,4,1,2,1
62131,3,2.18,NA,NA,1,5
62132,66,0.88,2,2,2,3
62133,0,5,NA,NA,1,3
62134,0,NA,NA,NA,2,1
62135,10,3.55,NA,NA,2,2
62136,70,0.74,1,3,1,1
62137,34,1.16,1,5,2,2
62138,20,0.66,2,6,1,1
62139,37,5,5,1,1,3
62140,21,0.18,4,6,2,3
62141,22,0.84,2,5,2,3
62142,55,1.36,3,1,1,3
62143,48,3.63,5,1,2,3
62144,33,1.94,4,1,2,2
62145,11,NA,NA,NA,1,1
62146,43,1.12,4,1,1,3
62147,16,3.46,NA,NA,2,5
62148,74,1.25,4,2,2,4
62149,66,3.43,4,1,2,3
62150,12,1.64,NA,NA,2,4
62151,8,0.24,NA,NA,1,4
62152,52,1.39,2,3,1,4
62153,24,4.51,3,5,1,4
62154,12,NA,NA,NA,1,2
62155,32,0.95,4,1,1,1
62156,48,0.11,3,3,2,3
62157,27,3.23,4,6,1,2
62158,75,0.82,2,1,1,4
62159,0,0.97,NA,NA,1,3
62160,63,NA,3,1,2,2
62161,22,3.15,3,5,1,3
62162,3,0.6,NA,NA,2,1
62163,14,4.07,NA,NA,1,5
62164,44,1.67,4,1,2,3
62165,14,0.57,NA,NA,2,4
62166,9,NA,NA,NA,1,3
62167,0,NA,NA,NA,1,5
